chapter,section,cluster,cluster_name,count,section_total,proportion
Part 9: Student Affairs and Campus Life,Chinese Student Services and Student Mobility,7,"Degrees, transfer and services",1,2,0.5
Part 9: Student Affairs and Campus Life,Counseling and Psychological Services (CAPS),7,"Degrees, transfer and services",1,1,1.0
Part 9: Student Affairs and Campus Life,Host Family Program,7,"Degrees, transfer and services",1,1,1.0
Part 9: Student Affairs and Campus Life,International Student Services,5,Credits and placement,1,2,0.5
Part 9: Student Affairs and Campus Life,International Student Services,7,"Degrees, transfer and services",1,2,0.5
Part 9: Student Affairs and Campus Life,Leadership Development,4,Interdisciplinary learning,1,1,1.0
Part 9: Student Affairs and Campus Life,Residence Life,4,Interdisciplinary learning,1,2,0.5
Part 9: Student Affairs and Campus Life,Residence Life,7,"Degrees, transfer and services",1,2,0.5
Part 9: Student Affairs and Campus Life,Student Affairs,4,Interdisciplinary learning,2,2,1.0
Part 9: Student Affairs and Campus Life,Student Affairs Conceptual Framework,4,Interdisciplinary learning,1,2,0.5
Part 9: Student Affairs and Campus Life,Student Affairs Conceptual Framework,7,"Degrees, transfer and services",1,2,0.5
Part 9: Student Affairs and Campus Life,Student Clubs and Organizations,7,"Degrees, transfer and services",1,1,1.0
Part 9: Student Affairs and Campus Life,Student Conduct,2,Academic status and procedures,1,3,0.3333
Part 9: Student Affairs and Campus Life,Student Conduct,4,Interdisciplinary learning,1,3,0.3333
Part 9: Student Affairs and Campus Life,Student Conduct,7,"Degrees, transfer and services",1,3,0.3333
